country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Eswatini,51.8,51.7,51.6,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5
Ethiopia,30.9,31.5,32.1,32.7,33.5,34.5,35.5,36.7,37.7,38.4,38.8,39.1,39.1,39.1
Fiji,39.6,39.8,39.7,39.4,38.9,38.2,37.6,37.1,36.8,36.7,36.7,36.7,36.7,36.7
Finland,27.8,27.9,27.8,27.5,27.4,27.3,27.2,27.1,27.1,27,27.1,27.1,27.1,27.1
France,31.5,32.3,33,33.2,33.1,33,32.8,32.7,32.6,32.6,32.7,32.7,32.7,32.7
Gabon,41.5,41.1,40.8,40.5,40.1,39.8,39.4,39.1,38.7,38.4,38.2,38.1,38,38
Gambia,45.7,45.2,44.6,43.9,43,41.8,40.5,39,37.8,36.8,36.2,35.9,35.9,35.9
Georgia,37.7,38.3,38.8,38.9,39,38.8,38.1,37.5,37,36.6,36.5,36.5,36.5,36.5
Germany,31,30.9,30.7,30.6,30.7,30.8,31.1,31.4,31.6,31.7,31.7,31.7,31.7,31.7
Ghana,42.6,42.7,42.6,42.5,42.5,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4
Greece,34.2,34.1,34,34.5,35,35.4,35.8,36,36,36,36,36,36,36
Grenada,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Guatemala,53.6,53,52.2,51.4,50.7,49.9,49.2,48.8,48.5,48.3,48.3,48.3,48.3,48.3
Guinea,39.2,38.2,37.1,36,35.1,34.4,34,33.7,33.7,33.7,33.7,33.7,33.7,33.7
Guinea-Bissau,45,46.9,48.4,49.5,50.3,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7
Guyana,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2
Haiti,54.8,54,53.3,52.5,51.9,51.4,51.1,50.9,50.9,50.9,50.9,50.9,50.9,50.9
Holy See,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Honduras,55.9,54.6,54.4,54.4,53.9,53.7,53,51.7,50.5,50,50,50.1,50.1,50.1
Hungary,29,28.4,28.5,28.8,29.6,30.4,30.6,30.8,30.7,30.5,30.4,30.4,30.4,30.4
Iceland,29.8,29.3,28.6,28,26.8,26.6,26.9,27.1,27.3,27.8,27.8,27.8,27.8,27.8
India,34.4,34.6,34.7,34.9,35,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1
Indonesia,34.4,35.2,36.4,37.3,38.2,39,39.7,39.4,39.1,38.9,38.7,38.3,38.2,38.2
Iran,43.4,42.9,41.9,40.8,39.7,39.1,38.6,38.4,38.5,38.8,38.8,38.8,38.8,38.8
Iraq,28.7,28.8,29,29.2,29.3,29.4,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5
Ireland,32.4,32.1,32.1,32.4,32.9,32.8,32.7,32.4,32.2,31.8,31.8,31.8,31.8,31.8
Israel,41.5,41.7,41.8,41.9,41.9,41.7,41.5,41.4,41.4,41.4,41.4,41.4,41.4,41.4
Italy,33.6,33.8,34.1,34.5,34.7,34.9,35,35.1,35.2,35.3,35.4,35.4,35.4,35.4
Jamaica,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5
Japan,32,31.9,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1
Jordan,33.9,33.5,33.3,33.2,33.3,33.6,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7
Kazakhstan,29.6,29,28.6,28.2,27.9,27.6,27.4,27.2,26.9,26.9,26.9,26.9,26.9,26.9
Kenya,45.7,45.3,44.7,44.2,43.6,43,42.5,41.9,41.5,41.1,40.9,40.8,40.8,40.8
Kiribati,37,37,37,37,37,37,37,37,37,37,37,37,37,37
Kuwait,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Kyrgyz Republic,33,32.5,30.6,29.3,28.8,28.2,28,27.8,27.6,27.2,27.2,26.8,26.8,26.8
Lao,34.7,35.2,35.5,35.8,36,36.1,36.3,36.3,36.4,36.4,36.4,36.4,36.4,36.4
Latvia,36.6,35.9,35.9,35.6,35.4,35.3,35.2,34.9,34.6,34.4,34.2,34.2,34.2,34.2
Lebanon,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8
Lesotho,53.1,53.4,53.7,54,54.1,54.2,54.2,54.2,54.2,54.2,54.2,54.2,54.2,54.2
Liberia,36.2,35.9,35.6,35.1,34.6,34.2,33.8,33.5,33.3,33.2,33.2,33.2,33.2,33.2
Libya,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Liechtenstein,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Lithuania,35.6,35.3,34.9,35,34.7,34.8,35.6,36.6,37,37.4,37.4,37.4,37.4,37.4
Luxembourg,31.3,31.3,31.5,32.1,32,32,32.7,33,32.9,33.3,33.8,33.8,33.8,33.8
Madagascar,40.9,41.4,41.8,42.2,42.4,42.6,42.6,42.7,42.7,42.7,42.7,42.7,42.7,42.7
Malawi,41.7,42.7,43.6,44.4,44.9,45.3,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5
Malaysia,45.9,45.6,45.2,44.5,43.6,42.8,42.1,41.5,41.2,41.1,41.1,41,41,41
Maldives,39.6,39.2,38.9,38.6,38.5,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4
Mali,37.2,36,34.8,33.9,33.3,33,33,33,33,33,33,33,33,33
Malta,28.9,29.1,29.3,29.4,29.3,29.1,29.2,29.2,29.2,29.3,29.4,29.4,29.4,29.4
Marshall Islands,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Mauritania,36.9,36.1,35.3,34.7,34.2,33.6,33.2,32.9,32.7,32.6,32.6,32.6,32.6,32.6
Mauritius,35.6,35.7,35.7,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8
Mexico,47.9,47.3,46.9,46.8,46.8,46.9,46.9,46.8,46.5,46.3,46,45.9,45.9,45.9
"Micronesia, Fed. Sts.",41.8,41.5,41.2,40.9,40.6,40.4,40.2,40.1,40.1,40.1,40.1,40.1,40.1,40.1
Moldova,34.7,33.9,32.9,31.9,30.7,29.4,28.4,27.6,27,26.6,26.5,26.4,26.4,26.4
Monaco,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Mongolia,35,34.7,34.5,34.2,33.6,33.1,33,32.6,32.4,32.3,32.3,32.4,32.4,32.4
Montenegro,30.6,30.4,30.5,30.7,31.1,31.3,31.9,32.1,32,31.9,31.9,31.9,31.9,31.9
Morocco,40.6,40.5,40.4,40.2,40.1,39.9,39.8,39.7,39.6,39.6,39.6,39.6,39.6,39.6
Mozambique,46.1,46.2,46.6,47.3,48.4,49.8,51.2,52.3,53.2,53.7,54,54,54,54
Myanmar,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1
Namibia,62.1,61.8,61.4,61,60.7,60.3,60,59.7,59.5,59.3,59.1,59.1,59.1,59.1
Nauru,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Nepal,39.1,37.5,36,34.7,33.8,33.2,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8
Netherlands,29.2,28.9,28.5,28.1,27.8,28,28.1,28.2,28.3,28.3,28.2,28.2,28.2,28.2
New Zealand,32.7,32.6,33.1,33.2,33.2,33.5,34,34,34.5,34.8,35,35,35,35
Nicaragua,44.3,44.2,44.3,44.5,44.8,45.3,45.6,45.9,46.1,46.2,46.2,46.2,46.2,46.2
Niger,39.8,37.6,35.4,34,33.2,33,33.1,33.7,34.1,34.3,34.3,34.3,34.3,34.3
Nigeria,41.5,42,42.4,42.7,42.9,43,43,43,43,43,43,43,43,43
North Korea,37,37,37,37,37,37,37,37,37,37,37,37,37,37
North Macedonia,43.1,43.2,42.7,41.5,39.7,38.3,37.3,36.4,35.8,35.6,35.6,35.6,35.6,35.6
Norway,27.4,26.5,26.3,26,25.9,26,26.3,26.8,27.1,27.4,27.5,27.5,27.5,27.5
Oman,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Pakistan,32,31.6,31,30.8,30.6,30.5,30.9,31.6,32.1,32.6,33.2,33.5,33.5,33.5
Palau,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Palestine,34.8,34.9,35,34.7,34.5,34.4,34.2,34.1,33.9,33.8,33.8,33.7,33.7,33.7
Panama,53.3,52.9,52.2,52,51.7,51.4,51.2,51,50.7,50.5,50.5,50.4,50.4,50.4
Papua New Guinea,44.8,43.8,43,42.4,42,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9
Paraguay,51.5,51.4,51.2,50.2,49.6,49.9,49.2,48.4,48.4,48.4,47.8,47.9,47.9,47.9
Peru,49.4,48.4,47.2,46.1,45.3,44.6,44.1,43.9,43.7,43.6,43.7,43.8,43.8,43.8
Philippines,44.6,44.5,44.3,44.2,44.1,43.9,43.5,43.1,42.7,42.4,42.2,42.2,42.2,42.2
Poland,34,33.6,33.4,33.2,33,32.8,32.6,32.1,31.7,31.3,31,30.8,30.8,30.8
Portugal,37,36.4,36.1,36,35.9,36,35.9,35.8,35.7,35.5,35.5,35.5,35.5,35.5
Qatar,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Romania,32.7,33.1,32.4,32,31.9,32.7,33.5,32.9,32.1,31.4,29.8,28.3,28.3,28.3
Russia,41.2,40.8,40.6,40.3,40.1,40.2,39.8,39.4,38.8,38.2,37.7,37.7,37.7,37.7
Rwanda,50.7,50.1,49.1,48.2,47.4,46.6,46,45.5,45.3,45.1,45.1,45.1,45.1,45.1
Samoa,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1
San Marino,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Sao Tome and Principe,31.3,31.1,31,30.9,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8
